date,open,high,low,exchange_rate,volume,dividends,stock splits,base_currency,quote_currency,pair,year,month,monthly_pct_change,yoy_pct_change,quarterly_volatility,annual_volatility,significant_move,ma_12_month,quarter,year_quarter
2011-05-01 00:00:00+01:00,152.5,157.5,152.24000549316406,156.60000610351562,0,0.0,0.0,USD,NGN,USD/NGN,2011,5,1.6223231025186635,5.093625848252414,1.2662285565802855,2.358010508039472,False,152.1791674296061,2,2011-Q2
2011-06-01 00:00:00+01:00,154.11000061035156,156.89999389648438,149.75999450683594,153.5,0,0.0,0.0,USD,NGN,USD/NGN,2011,6,-1.979569593034669,2.4016052368899032,1.6441839498714912,2.269006833979216,False,152.47916793823242,2,2011-Q2
2011-07-01 00:00:00+01:00,149.27000427246094,153.89999389648438,147.9199981689453,153.0,0,0.0,0.0,USD,NGN,USD/NGN,2011,7,-0.32573289902280145,1.9320411582691044,1.9502171583007477,2.1435386366850215,False,152.7208340962728,3,2011-Q3
2011-08-01 00:00:00+01:00,152.9499969482422,155.89999389648438,143.1300048828125,154.72000122070312,0,0.0,0.0,USD,NGN,USD/NGN,2011,8,1.1241838043811292,2.024403196688773,0.8847605304767854,2.1868802006844033,False,152.97666803995767,3,2011-Q3
2011-09-01 00:00:00+01:00,154.60000610351562,160.4499969482422,150.27000427246094,159.35000610351562,0,0.0,0.0,USD,NGN,USD/NGN,2011,9,2.992505717607874,3.3063248645158083,3.28425351560984,2.851434307941111,False,153.40166854858398,3,2011-Q3
2011-10-01 00:00:00+01:00,159.6999969482422,167.75,154.4499969482422,157.92999267578125,0,0.0,0.0,USD,NGN,USD/NGN,2011,10,-0.891128568148225,5.957725221206367,2.3719692413508833,2.770543036673578,False,154.14166768391928,4,2011-Q4
2011-11-01 00:00:00+00:00,159.39999389648438,161.25,155.0500030517578,161.0,0,0.0,0.0,USD,NGN,USD/NGN,2011,11,1.9439039236335942,7.333333333333325,1.5364386832400379,3.0782960682096805,False,155.05833435058594,4,2011-Q4
2011-12-01 00:00:00+00:00,161.1999969482422,162.85000610351562,157.3300018310547,159.22000122070312,0,0.0,0.0,USD,NGN,USD/NGN,2011,12,-1.105589303911103,4.8189648573699895,1.5415069829567476,3.1205203717761814,False,155.6683349609375,4,2011-Q4
2012-01-01 00:00:00+00:00,159.9600067138672,162.5,157.25,161.5,0,0.0,0.0,USD,NGN,USD/NGN,2012,1,1.4319801292655754,6.882854716339026,1.198387116634514,3.1800441266482737,False,156.53500111897787,1,2012-Q1
2012-02-01 00:00:00+00:00,160.5,161.0,153.8300018310547,157.4499969482422,0,0.0,0.0,USD,NGN,USD/NGN,2012,2,-2.5077418277138164,3.245899638191596,2.0303462051816314,2.9194270604917985,False,156.9475008646647,1,2012-Q1
2012-03-01 00:00:00+00:00,155.4199981689453,158.4499969482422,154.1699981689453,155.36000061035156,0,0.0,0.0,USD,NGN,USD/NGN,2012,3,-1.327403225404733,0.2322584582913345,3.121703645888649,2.8993760360056617,False,156.97750091552734,1,2012-Q1
2012-04-01 00:00:00+01:00,157.55999755859375,159.48963928222656,154.47999572753906,157.0800018310547,0,0.0,0.0,USD,NGN,USD/NGN,2012,4,1.107106857586171,1.9338063656774152,1.1153015495340985,2.7545119055005434,False,157.22583389282227,2,2012-Q2
2012-05-01 00:00:00+01:00,157.1999969482422,160.1699981689453,154.89999389648438,157.8000030517578,0,0.0,0.0,USD,NGN,USD/NGN,2012,5,0.45836593602635034,0.7662815462784689,1.253689081012687,2.7515071014816206,False,157.32583363850912,2,2012-Q2
2012-06-01 00:00:00+01:00,159.8000030517578,163.3000030517578,156.16000366210938,159.72000122070312,0,0.0,0.0,USD,NGN,USD/NGN,2012,6,1.2167288541278243,4.052118059089982,1.3646972499368608,2.543256777652456,False,157.84416707356772,2,2012-Q2
