date,open,high,low,exchange_rate,volume,dividends,stock splits,base_currency,quote_currency,pair,year,month,monthly_pct_change,yoy_pct_change,quarterly_volatility,annual_volatility,significant_move,ma_12_month,quarter,year_quarter
2011-05-01 00:00:00+01:00,1490.199951171875,1532.0,1488.0,1516.4000244140625,0,0.0,0.0,USD,TZS,USD/TZS,2011,5,1.9154512757820097,7.921148015230162,18.214563399225717,20.318578206303865,False,1481.8666687011719,2,2011-Q2
2011-06-01 00:00:00+01:00,1516.0,1599.5,1516.0,1599.5,0,0.0,0.0,USD,TZS,USD/TZS,2011,6,5.480082712214895,11.00700762708584,57.98334601872794,36.4373220549624,True,1495.0833333333333,2,2011-Q2
2011-07-01 00:00:00+01:00,1586.199951171875,1603.4000244140625,1530.0999755859375,1568.9000244140625,0,0.0,0.0,USD,TZS,USD/TZS,2011,7,-1.9130963167200643,4.894034607999798,42.028193807338646,42.218549988990105,False,1501.1833394368489,3,2011-Q3
2011-08-01 00:00:00+01:00,1576.699951171875,1608.5,1530.5999755859375,1599.699951171875,0,0.0,0.0,USD,TZS,USD/TZS,2011,8,1.9631542022134463,6.76053958270757,17.724907026637393,50.85550112674297,False,1509.625,3,2011-Q3
2011-09-01 00:00:00+01:00,1598.9000244140625,1654.4000244140625,1598.9000244140625,1635.0999755859375,0,0.0,0.0,USD,TZS,USD/TZS,2011,9,2.2129165152583674,10.569375277047932,33.12660248189606,61.20538318190008,False,1522.6499938964844,3,2011-Q3
2011-10-01 00:00:00+01:00,1632.699951171875,1797.4000244140625,1632.699951171875,1724.9000244140625,0,0.0,0.0,USD,TZS,USD/TZS,2011,10,5.492021905018074,16.86314528550559,64.53974077767748,82.4474153641881,True,1543.3916625976562,4,2011-Q4
2011-11-01 00:00:00+00:00,1764.800048828125,1779.5,1667.0,1667.0,0,0.0,0.0,USD,TZS,USD/TZS,2011,11,-3.3567176992609027,14.201552083474445,45.52302193085074,84.9956943452635,True,1560.6666666666667,4,2011-Q4
2011-12-01 00:00:00+00:00,1639.699951171875,1658.699951171875,1559.300048828125,1554.9000244140625,0,0.0,0.0,USD,TZS,USD/TZS,2011,12,-6.72465360443536,6.376142598039158,86.4280214528412,79.19018393346799,True,1568.4333394368489,4,2011-Q4
2012-01-01 00:00:00+00:00,1559.0999755859375,1579.199951171875,1551.9000244140625,1581.300048828125,0,0.0,0.0,USD,TZS,USD/TZS,2012,1,1.6978599266541883,6.156020055392197,58.605812348680466,75.21608178343257,False,1576.0750122070312,1,2012-Q1
2012-02-01 00:00:00+00:00,1574.800048828125,1575.800048828125,1562.5,1569.4000244140625,0,0.0,0.0,USD,TZS,USD/TZS,2012,2,-0.7525468947453318,4.990632402268225,13.22133295170001,70.84375978638468,False,1582.2916768391926,1,2012-Q1
