Date,Close,High,Low,Open,Volume,Index_Name,Ticker,Country,Region,Continent,Currency,Latitude,Longitude,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_50,MA_200,Volatility_10D,Volatility_30D,Normalized_Value
2020-07-06,12733.4501953125,12842.58984375,12655.2099609375,12774.76953125,78193500.0,DAX_40,^GDAXI,Germany,Europe,Europe,EUR,50.1109,8.6821,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-07-07,12616.7998046875,12661.1201171875,12525.1796875,12660.08984375,78792300.0,DAX_40,^GDAXI,Germany,Europe,Europe,EUR,50.1109,8.6821,2020,3,7,28,7,1,Tuesday,-0.9160941365910502,-0.9160941365910502,0.0,0.0,0.0,0.0,99.08390586340894
2020-07-08,12494.8095703125,12670.1904296875,12463.2197265625,12542.580078125,74362600.0,DAX_40,^GDAXI,Germany,Europe,Europe,EUR,50.1109,8.6821,2020,3,7,28,8,2,Wednesday,-0.9668872952210639,-1.8741238339931576,0.0,0.0,0.0,0.0,98.12587616600685
2020-07-09,12489.4599609375,12709.6796875,12459.16015625,12639.169921875,76140500.0,DAX_40,^GDAXI,Germany,Europe,Europe,EUR,50.1109,8.6821,2020,3,7,28,9,3,Thursday,-0.042814653115730295,-1.9161360874904054,0.0,0.0,0.0,0.0,98.0838639125096
2020-07-10,12633.7099609375,12649.990234375,12416.6904296875,12442.2197265625,72727400.0,DAX_40,^GDAXI,Germany,Europe,Europe,EUR,50.1109,8.6821,2020,3,7,28,10,4,Friday,1.1549738775828766,-0.7832930811769834,0.0,0.0,0.0,0.0,99.21670691882302
2020-07-13,12799.9697265625,12836.41015625,12688.9404296875,12817.1904296875,72522700.0,DAX_40,^GDAXI,Germany,Europe,Europe,EUR,50.1109,8.6821,2020,3,7,29,13,0,Monday,1.3160011282439044,0.5223999012811786,0.0,0.0,0.0,0.0,100.52239990128118
2020-07-14,12697.3603515625,12697.91015625,12535.900390625,12642.23046875,76739200.0,DAX_40,^GDAXI,Germany,Europe,Europe,EUR,50.1109,8.6821,2020,3,7,29,14,1,Tuesday,-0.801637638150543,-0.28342549109969806,0.0,0.0,0.0,0.0,99.71657450890031
2020-07-15,12930.98046875,12999.83984375,12773.4404296875,12812.1103515625,78620200.0,DAX_40,^GDAXI,Germany,Europe,Europe,EUR,50.1109,8.6821,2020,3,7,29,15,2,Wednesday,1.839910900526287,1.5512706329209536,0.0,0.0,0.0,0.0,101.55127063292096
2020-07-16,12874.9697265625,12919.23046875,12805.4697265625,12857.2998046875,68007000.0,DAX_40,^GDAXI,Germany,Europe,Europe,EUR,50.1109,8.6821,2020,3,7,29,16,3,Thursday,-0.4331515488934512,1.111399731253493,0.0,0.0,0.0,0.0,101.1113997312535
2020-07-17,12919.6103515625,12954.25,12870.26953125,12915.26953125,75182300.0,DAX_40,^GDAXI,Germany,Europe,Europe,EUR,50.1109,8.6821,2020,3,7,29,17,4,Friday,0.34672411623539734,1.4619773383849344,0.0,0.0,0.0,0.0,101.46197733838494
