Date,Close,High,Low,Open,Volume,ETF_Name,Ticker,Category,Asset_Class,Geographic_Focus,Currency,Issuer,Expense_Ratio,Full_Name,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_10D,Volatility_30D,RSI_14,Price_Change_1M,Price_Change_3M,Price_Change_1Y,Normalized_Value,ESG_Score,Sustainability_Theme,Risk_Level
2020-07-06,31.78569793701172,31.815077278260087,31.07086289085855,31.207955899566223,143200.0,First_Trust_Clean_Edge_Green,QCLN,Clean Energy,Equity,Global,USD,First Trust,0.6,First Trust Clean Edge Green Energy ETF,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,90,Renewable Energy,High
2020-07-07,32.02070617675781,32.23613345911269,31.423377434984584,31.824860136519497,130800.0,First_Trust_Clean_Edge_Green,QCLN,Clean Energy,Equity,Global,USD,First Trust,0.6,First Trust Clean Edge Green Energy ETF,2020,3,7,28,7,1,Tuesday,0.7393521457726093,0.7393521457726093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.73935214577261,90,Renewable Energy,High
2020-07-08,32.6670036315918,32.990146503340455,32.14801467082248,32.167595917816435,177600.0,First_Trust_Clean_Edge_Green,QCLN,Clean Energy,Equity,Global,USD,First Trust,0.6,First Trust Clean Edge Green Energy ETF,2020,3,7,28,8,2,Wednesday,2.0183735213906706,2.772648555103374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.77264855510337,90,Renewable Energy,High
2020-07-09,33.09786605834961,33.22516659198994,32.08926362027464,33.17620599765255,116100.0,First_Trust_Clean_Edge_Green,QCLN,Clean Energy,Equity,Global,USD,First Trust,0.6,First Trust Clean Edge Green Energy ETF,2020,3,7,28,9,3,Thursday,1.3189530071902045,4.128171493789923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.12817149378992,90,Renewable Energy,High
2020-07-10,33.52873229980469,33.55810791286134,32.75514211537503,33.10766441387231,74800.0,First_Trust_Clean_Edge_Green,QCLN,Clean Energy,Equity,Global,USD,First Trust,0.6,First Trust Clean Edge Green Energy ETF,2020,3,7,28,10,4,Friday,1.3017946253558677,5.483706433777424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.48370643377743,90,Renewable Energy,High
2020-07-13,32.90203094482422,35.08571078973261,32.85307033411911,34.302326076630244,179500.0,First_Trust_Clean_Edge_Green,QCLN,Clean Energy,Equity,Global,USD,First Trust,0.6,First Trust Clean Edge Green Energy ETF,2020,3,7,29,13,0,Monday,-1.8691471821143613,3.512060707380682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.51206070738068,90,Renewable Energy,High
2020-07-14,34.03792190551758,34.09667685824835,32.22635382070408,32.81388840619662,146800.0,First_Trust_Clean_Edge_Green,QCLN,Clean Energy,Equity,Global,USD,First Trust,0.6,First Trust Clean Edge Green Energy ETF,2020,3,7,29,14,1,Tuesday,3.4523429954771423,7.085652084685989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.08565208468599,90,Renewable Energy,High
2020-07-15,34.9486083984375,35.036738973097705,34.17502194914721,34.66463542271404,116000.0,First_Trust_Clean_Edge_Green,QCLN,Clean Energy,Equity,Global,USD,First Trust,0.6,First Trust Clean Edge Green Energy ETF,2020,3,7,29,15,2,Wednesday,2.6755055594986255,9.950734659637096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.95073465963709,90,Renewable Energy,High
2020-07-16,34.3708610534668,34.68421334765747,34.223979266757794,34.38065541385313,248100.0,First_Trust_Clean_Edge_Green,QCLN,Clean Energy,Equity,Global,USD,First Trust,0.6,First Trust Clean Edge Green Energy ETF,2020,3,7,29,16,3,Thursday,-1.6531340486694024,8.1331016282165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.1331016282165,90,Renewable Energy,High
2020-07-17,34.635257720947266,34.635257720947266,34.07709863337937,34.48837591316624,53600.0,First_Trust_Clean_Edge_Green,QCLN,Clean Energy,Equity,Global,USD,First Trust,0.6,First Trust Clean Edge Green Energy ETF,2020,3,7,29,17,4,Friday,0.7692465634456358,8.964911796438724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.96491179643873,90,Renewable Energy,High
