Date,Close,High,Low,Open,Volume,Index_Name,Ticker,Country,Region,Continent,Currency,Latitude,Longitude,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_50,MA_200,Volatility_10D,Volatility_30D,Normalized_Value
2020-07-06,26339.16015625,26453.609375,25543.150390625,25545.5390625,4883381900.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-07-07,25975.66015625,26782.619140625,25911.740234375,26571.080078125,3913840700.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,28,7,1,Tuesday,-1.3800743753545452,-1.3800743753545452,0.0,0.0,0.0,0.0,98.61992562464546
2020-07-08,26129.1796875,26299.83984375,25849.779296875,26078.609375,2582679500.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,28,8,2,Wednesday,0.5910130111286493,-0.7972177833474814,0.0,0.0,0.0,0.0,99.20278221665252
2020-07-09,26210.16015625,26374.939453125,26016.75,26351.130859375,2452681700.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,28,9,3,Thursday,0.3099235020712854,-0.48976504654948405,0.0,0.0,0.0,0.0,99.51023495345052
2020-07-10,25727.41015625,26137.91015625,25570.359375,25931.779296875,2142150800.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,28,10,4,Friday,-1.841842999516674,-2.3225873428422084,0.0,0.0,0.0,0.0,97.67741265715779
2020-07-13,25772.119140625,26103.83984375,25715.240234375,25848.80078125,2127288800.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,29,13,0,Monday,0.1737795763486094,-2.152843948938321,0.0,0.0,0.0,0.0,97.84715605106167
2020-07-14,25477.890625,25663.16015625,25254.3203125,25663.16015625,2180279200.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,29,14,1,Tuesday,-1.1416543359106357,-3.2699202485605094,0.0,0.0,0.0,0.0,96.73007975143949
2020-07-15,25481.580078125,25888.779296875,25299.359375,25888.779296875,1849317300.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,29,15,2,Wednesday,0.014480999150601193,-3.25591276653332,0.0,0.0,0.0,0.0,96.74408723346669
2020-07-16,24970.689453125,25576.490234375,24919.94921875,25549.400390625,1935051700.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,29,16,3,Thursday,-2.004940915883713,-5.19557455517532,0.0,0.0,0.0,0.0,94.80442544482469
2020-07-17,25089.169921875,25263.970703125,25015.279296875,25142.060546875,1362500400.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,29,17,4,Friday,0.47447816357819583,-4.74574825833386,0.0,0.0,0.0,0.0,95.25425174166614
2020-07-20,25057.990234375,25222.109375,24766.169921875,25019.599609375,1650620500.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,30,20,0,Monday,-0.12427548458993076,-4.864125941278319,0.0,0.0,0.9948126668064471,0.0,95.13587405872168
2020-07-21,25635.66015625,25635.66015625,25378.380859375,25427.060546875,1752171900.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,30,21,1,Tuesday,2.3053322172763124,-2.6709279864151947,0.0,0.0,1.2733052509472305,0.0,97.3290720135848
2020-07-22,25057.939453125,25779.66015625,25057.939453125,25575.25,2390051200.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,30,22,2,Wednesday,-2.253582313089575,-4.864318738807549,0.0,0.0,1.4065068139625603,0.0,95.13568126119245
2020-07-23,25263.0,25346.359375,24992.369140625,25235.900390625,1910000000.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,30,23,3,Thursday,0.8183456076210849,-4.085780069926182,0.0,0.0,1.4440628253762606,0.0,95.91421993007381
2020-07-24,24705.330078125,25101.099609375,24598.4609375,25040.759765625,3029706400.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,30,24,4,Friday,-2.207457237362942,-6.2030454594328095,0.0,0.0,1.489712890072363,0.0,93.79695454056719
2020-07-27,24603.259765625,24972.4609375,24526.91015625,24909.9609375,1491211000.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,31,27,0,Monday,-0.41315097664036404,-6.590568493176074,0.0,0.0,1.4763355509900848,0.0,93.40943150682392
2020-07-28,24772.759765625,24942.740234375,24642.349609375,24942.740234375,1358418200.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,31,28,1,Tuesday,0.688933099169331,-5.947040001779669,0.0,0.0,1.494867102034301,0.0,94.05295999822033
2020-07-29,24883.140625,24905.439453125,24671.509765625,24710.509765625,1080335100.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,31,29,2,Wednesday,0.44557352680651974,-5.527964910849681,0.0,0.0,1.5101265289524788,0.0,94.47203508915032
2020-07-30,24710.58984375,25197.310546875,24616.05078125,24979.240234375,1779681900.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,31,30,3,Thursday,-0.6934445448443016,-6.183076084578798,0.0,0.0,1.3908042746603317,0.0,93.8169239154212
2020-07-31,24595.349609375,24938.849609375,24534.7890625,24747.2890625,1763233900.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,7,31,31,4,Friday,-0.4663597069260117,-6.620600415997746,0.0,0.0,1.379709054441614,0.0,93.37939958400226
2020-08-03,24458.130859375,24647.279296875,24250.98046875,24566.810546875,2012723100.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,32,3,0,Monday,-0.5579052633091885,-7.141569001123416,0.0,0.0,1.3842204916021248,0.0,92.85843099887659
2020-08-04,24946.630859375,25062.41015625,24539.439453125,24664.599609375,1906615900.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,32,4,1,Tuesday,1.997290810195973,-5.286916092290694,0.0,0.0,1.3235451600019292,0.0,94.7130839077093
2020-08-05,25102.5390625,25167.220703125,24868.2890625,25029.390625,1477936300.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,32,5,2,Wednesday,0.6249669705054028,-4.694990601120452,0.0,0.0,1.1435897444571568,0.0,95.30500939887955
2020-08-06,24930.580078125,25201.439453125,24641.08984375,25201.439453125,1596206100.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,32,6,3,Thursday,-0.6850262594825907,-5.347854942105124,0.0,0.0,1.126199787398331,0.0,94.65214505789487
2020-08-07,24531.619140625,24909.369140625,24167.7890625,24909.369140625,1610164700.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,32,7,4,Friday,-1.6002874231156095,-6.862561315175764,0.0,0.0,1.012144384275285,0.0,93.13743868482423
2020-08-10,24377.4296875,24536.009765625,24272.669921875,24376.8203125,1256444100.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,33,10,0,Monday,-0.6285335356020494,-7.4479613515106795,0.0,0.0,1.0225916383904856,0.0,92.55203864848932
2020-08-11,24890.6796875,25031.5703125,24662.0390625,24662.0390625,1628363900.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,33,11,1,Tuesday,2.105431157342963,-5.499341893049281,0.0,0.0,1.2209575534000296,0.0,94.50065810695072
2020-08-12,25244.01953125,25291.80078125,24685.439453125,24868.630859375,1763950100.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,33,12,2,Wednesday,1.4195668747746026,-4.157841854119004,0.0,0.0,1.2924086302971032,0.0,95.842158145881
2020-08-13,25230.669921875,25490.01953125,25144.4609375,25490.01953125,1761196500.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,33,13,3,Thursday,-0.052882265276632534,-4.208525358436566,0.0,0.0,1.2613749055560248,0.0,95.79147464156344
2020-08-14,25183.009765625,25378.529296875,25040.55078125,25072.44921875,1429766800.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,33,14,4,Friday,-0.18889770425271069,-4.389473254904286,0.0,0.0,1.2476839077282509,0.0,95.61052674509571
2020-08-17,25347.33984375,25588.669921875,25163.2890625,25212.279296875,1955689100.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,34,17,0,Monday,0.6525434396221774,-3.7655730350409478,0.0,0.0,1.2197127529166338,1.2234280325248266,96.23442696495906
2020-08-18,25367.380859375,25470.970703125,25257.880859375,25470.970703125,1534776000.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,34,18,1,Tuesday,0.079065557760849,-3.6894847486031446,0.0,0.0,1.0768515497824451,1.2004193694042544,96.31051525139685
2020-08-19,25178.91015625,25382.509765625,25079.25,25359.029296875,1132238600.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,34,19,2,Wednesday,-0.7429647710569531,-4.40503794774445,0.0,0.0,1.0996447931553759,1.1997201847211572,95.59496205225555
2020-08-20,24791.390625,25055.349609375,24621.3203125,25055.349609375,1995701500.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,34,20,3,Thursday,-1.5390639580713072,-5.876305554422667,0.0,0.0,1.1912010076308346,1.2243028341384623,94.12369444557733
2020-08-21,25113.83984375,25178.7890625,24885.859375,25007.130859375,1210267900.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,34,21,4,Friday,1.30064998622883,-4.6520857355781935,0.0,0.0,1.1228758440047635,1.2114110072174293,95.3479142644218
2020-08-24,25551.580078125,25551.580078125,25325.150390625,25352.7890625,1352263800.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,35,24,0,Monday,1.7430239146959403,-2.9901487877855404,0.0,0.0,1.168456827700468,1.2555255204859728,97.00985121221446
2020-08-25,25486.220703125,25621.080078125,25352.259765625,25586.990234375,1350837400.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,35,25,1,Tuesday,-0.25579386793365133,-3.23829403847794,0.0,0.0,1.033781578026305,1.2385633130596232,96.76170596152205
2020-08-26,25491.7890625,25603.169921875,25360.029296875,25520.41015625,1319876200.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,35,26,2,Wednesday,0.021848509592148346,-3.2171530478694033,0.0,0.0,0.9477137294897249,1.2385652694960607,96.7828469521306
2020-08-27,25281.150390625,25469.76953125,25186.419921875,25469.76953125,1701268300.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,35,27,3,Thursday,-0.8263000739515136,-4.0168697838072305,0.0,0.0,0.9922479848228771,1.1902379682682336,95.98313021619276
2020-08-28,25422.060546875,25749.400390625,25258.16015625,25330.76953125,2065272600.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,35,28,4,Friday,0.5573724062108099,-3.4818863013647894,0.0,0.0,1.0024336922246282,1.1913577819499606,96.5181136986352
2020-08-31,25177.05078125,25847.109375,25177.05078125,25732.490234375,3195378200.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,8,36,31,0,Monday,-0.9637683191464075,-4.41209730342994,0.0,0.0,1.0331076509174244,1.2053883972926984,95.58790269657005
2020-09-01,25184.849609375,25254.140625,24995.44921875,25085.669921875,1729452000.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,9,36,1,1,Tuesday,0.030975939925448337,-4.3824880521146525,0.0,0.0,1.0324867229672643,1.12577397898824,95.61751194788535
2020-09-02,25120.08984375,25239.859375,24931.169921875,25239.859375,2349955800.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,9,36,2,2,Wednesday,-0.2571377897007343,-4.628356808904277,0.0,0.0,1.0083138481475857,1.047490794298389,95.37164319109573
2020-09-03,25007.599609375,25216.01953125,24854.580078125,25026.990234375,2007341100.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,9,36,3,3,Thursday,-0.4478098409468445,-5.055440412586709,0.0,0.0,0.8758536731758835,1.0394229201941878,94.9445595874133
2020-09-04,24695.44921875,24813.9609375,24488.640625,24668.80078125,3393745100.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,9,36,4,4,Friday,-1.2482221224782375,-6.240559409446334,0.0,0.0,0.8551236050545336,0.9833280395075357,93.75944059055367
2020-09-07,24589.650390625,24908.2890625,24475.609375,24621.01953125,1682872900.0,Hang_Seng,^HSI,Hong Kong,Asia-Pacific,Asia,HKD,22.3193,114.1694,2020,3,9,37,7,0,Monday,-0.4284142685068937,-6.642238231008513,0.0,0.0,0.5312735206617603,0.9835548772306729,93.35776176899148
