Date,Close,High,Low,Open,Volume,Index_Name,Ticker,Country,Region,Continent,Currency,Latitude,Longitude,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_50,MA_200,Volatility_10D,Volatility_30D,Normalized_Value
2020-07-06,50503.91015625,50881.4609375,50162.578125,50179.890625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-07-07,50922.3203125,50976.94140625,50271.51953125,50503.91015625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,28,7,1,Tuesday,0.8284708153398768,0.8284708153398768,0.0,0.0,0.0,0.0,100.82847081533987
2020-07-08,51558.75,51605.33984375,50813.44921875,50922.3203125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,28,8,2,Wednesday,1.2498049648844711,2.0886300496070875,0.0,0.0,0.0,0.0,102.08863004960709
2020-07-09,51536.91015625,52201.3984375,51536.91015625,51558.75,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,28,9,3,Thursday,-0.0423591412708757,2.0453861825828534,0.0,0.0,0.0,0.0,102.04538618258286
2020-07-10,51154.078125,51695.4609375,50769.03125,51536.91015625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,28,10,4,Friday,-0.7428307791237931,1.2873616453429104,0.0,0.0,0.0,0.0,101.28736164534291
2020-07-13,51874.80859375,51964.76953125,51138.3984375,51154.078125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,29,13,0,Monday,1.4089403917881604,2.714440195340684,0.0,0.0,0.0,0.0,102.71444019534069
2020-07-14,51235.08984375,51874.80859375,50765.03125,51874.80859375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,29,14,1,Tuesday,-1.2331973212852954,1.4477684702785654,0.0,0.0,0.0,0.0,101.44776847027856
2020-07-15,51606.69921875,52098.8515625,51207.94921875,51235.08984375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,29,15,2,Wednesday,0.7253024755754067,2.183571646409499,0.0,0.0,0.0,0.0,102.1835716464095
2020-07-16,51363.48828125,51615.58984375,50602.0703125,51606.69921875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,29,16,3,Thursday,-0.47127784024527664,1.702003116868811,0.0,0.0,0.0,0.0,101.70200311686881
2020-07-17,51515.87890625,51607.4296875,51253.0390625,51363.48828125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,29,17,4,Friday,0.29669056775418756,2.0037433673336436,0.0,0.0,0.0,0.0,102.00374336733364
2020-07-20,51852.21875,52040.51171875,51297.4609375,51515.87890625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,30,20,0,Monday,0.6528857720977221,2.669711294786037,0.0,0.0,0.8728064768584921,0.0,102.66971129478604
2020-07-21,52016.51953125,52979.98046875,51852.21875,51852.21875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,30,21,1,Tuesday,0.3168635503181916,2.995034187096124,0.0,0.0,0.8509753648143165,0.0,102.99503418709612
2020-07-22,51412.01953125,52059.41015625,51141.98046875,52016.51953125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,30,22,2,Wednesday,-1.1621308104569295,1.798097161567247,0.0,0.0,0.8670881591580243,0.0,101.79809716156724
2020-07-23,51683.609375,52067.48828125,51412.01953125,51412.01953125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,30,23,3,Thursday,0.528261379782835,2.335857194225599,0.0,0.0,0.8844295056359273,0.0,102.3358571942256
2020-07-24,51259.48046875,51683.609375,50870.5390625,51683.609375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,30,24,4,Friday,-0.8206255549465524,1.4960629982161855,0.0,0.0,0.8923087835842571,0.0,101.49606299821619
2020-07-27,51914.078125,52035.76953125,51194.890625,51259.48046875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,31,27,0,Monday,1.2770274888936228,2.7921956228482037,0.0,0.0,0.8702654619366101,0.0,102.7921956228482
2020-07-28,52043.05078125,52140.05078125,51565.73046875,51914.078125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,31,28,1,Tuesday,0.24843483869529948,3.0475672482351834,0.0,0.0,0.7531520477084601,0.0,103.04756724823518
2020-07-29,52245.75,52331.62109375,51822.7109375,52043.05078125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,31,29,2,Wednesday,0.38948373645886214,3.448920763483576,0.0,0.0,0.7323011727627744,0.0,103.44892076348357
2020-07-30,51451.44140625,52604.109375,51310.83984375,52245.75,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,31,30,3,Thursday,-1.5203314982558336,1.8761542365106187,0.0,0.0,0.8862580438049252,0.0,101.87615423651062
2020-07-31,51368.8203125,52267.12109375,51297.33984375,51451.44140625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,7,31,31,4,Friday,-0.16058071745287394,1.712560777124228,0.0,0.0,0.8822207959822014,0.0,101.71256077712422
2020-08-03,51571.7109375,52040.7109375,51124.5,51368.8203125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,32,3,0,Monday,0.3949684337030135,2.11429328530488,0.0,0.0,0.863775775164036,0.0,102.11429328530488
2020-08-04,51951.33984375,52086.25,51571.7109375,51571.7109375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,32,4,1,Tuesday,0.7361185024675088,2.8659754918419544,0.0,0.0,0.893278408433977,0.0,102.86597549184195
2020-08-05,53279.30078125,53469.53125,51951.33984375,51951.33984375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,32,5,2,Wednesday,2.556163020037605,5.495397517565359,0.0,0.0,1.1079927399628515,0.0,105.49539751756537
2020-08-06,53350.87890625,53788.55078125,53151.94921875,53279.30078125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,32,6,3,Thursday,0.13434509077714374,5.637125405126042,0.0,0.0,1.108462440137803,0.0,105.63712540512604
2020-08-07,52435.6484375,53350.87890625,52218.26953125,53350.87890625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,32,7,4,Friday,-1.7154927669669195,3.8249281595693185,0.0,0.0,1.2394708061710105,0.0,103.82492815956932
2020-08-11,52831.609375,53340.44140625,52138.12890625,52435.6484375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,33,11,1,Tuesday,0.7551369141014064,4.608948518141509,0.0,0.0,1.2010664467888978,0.0,104.6089485181415
2020-08-12,53126.5390625,53304.890625,52507.3203125,52831.609375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,33,12,2,Wednesday,0.558244753451631,5.192922484884943,0.0,0.0,1.2069568023098576,0.0,105.19292248488495
2020-08-13,53082.078125,53161.7109375,52504.0,53126.5390625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,33,13,3,Thursday,-0.0836887519582108,5.104887840908967,0.0,0.0,1.2085347864218,0.0,105.10488784090897
2020-08-14,52737.48046875,53087.26171875,52586.87890625,53082.078125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,33,14,4,Friday,-0.6491789101371048,4.422569075522542,0.0,0.0,1.1000409366790838,0.0,104.42256907552255
2020-08-17,53140.2109375,53380.33984375,52681.12109375,52737.48046875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,34,17,0,Monday,0.7636513257182287,5.219993408616808,0.0,0.0,1.1002948418990994,0.0,105.2199934086168
2020-08-18,52738.12109375,53321.890625,52547.98046875,53140.2109375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,34,18,1,Tuesday,-0.7566583509104108,4.4238375416631115,0.0,0.0,1.153469651977205,0.9495948638169378,104.42383754166312
2020-08-19,52137.859375,52738.12109375,52069.33984375,52738.12109375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,34,19,2,Wednesday,-1.1381932202001344,3.235292502491105,0.0,0.0,1.2128209973833701,0.9687434267779793,103.2352925024911
2020-08-20,51380.01953125,52137.859375,51020.66015625,52137.859375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,34,20,3,Thursday,-1.453530798606939,1.7347357309354328,0.0,0.0,0.9158916025027706,0.9821226920354521,101.73473573093543
2020-08-21,51669.1796875,52111.359375,51138.80078125,51380.01953125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,34,21,4,Friday,0.5627871668560269,2.3072857678640535,0.0,0.0,0.9508630932356004,0.9875690527874835,102.30728576786406
2020-08-24,52256.83984375,52715.19140625,51617.7890625,51669.1796875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,35,24,0,Monday,1.1373514342674307,3.4708791499049374,0.0,0.0,0.9113657721150583,0.997541548065134,103.47087914990493
2020-08-25,51767.87890625,52481.94921875,51694.44140625,52256.83984375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,35,25,1,Tuesday,-0.9356879194417633,2.502714633559089,0.0,0.0,0.906265274038802,0.9812162784907681,102.5027146335591
2020-08-26,52256.8515625,52319.28125,51501.859375,51767.87890625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,35,26,2,Wednesday,0.9445483697246182,3.470902353553851,0.0,0.0,0.9493617599614347,0.9674672396244344,103.47090235355385
2020-08-27,52583.69921875,53075.69921875,52244.28125,52256.8515625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2020,3,8,35,27,3,Thursday,0.6254637362893556,4.118075325386705,0.0,0.0,0.9817020143090984,0.965305950585688,104.11807532538671
