Date,Close,High,Low,Open,Volume,Index_Name,Ticker,Country,Region,Continent,Currency,Latitude,Longitude,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_50,MA_200,Volatility_10D,Volatility_30D,Normalized_Value
2020-07-06,10433.650390625,10462.0498046875,10354.98046875,10360.3798828125,4570260000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-07-07,10343.8896484375,10518.98046875,10337.98046875,10412.4599609375,4337130000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,28,7,1,Tuesday,-0.8603004588705887,-0.8603004588705887,0.0,0.0,0.0,0.0,99.13969954112942
2020-07-08,10492.5,10494.6298828125,10350.9599609375,10409.349609375,4030210000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,28,8,2,Wednesday,1.436696993233566,0.5640366235376115,0.0,0.0,0.0,0.0,100.56403662353762
2020-07-09,10547.75,10578.099609375,10379.91015625,10563.7197265625,4013180000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,28,9,3,Thursday,0.5265665951870391,1.0935732471688109,0.0,0.0,0.0,0.0,101.0935732471688
2020-07-10,10617.4404296875,10622.349609375,10447.009765625,10545.91015625,3537510000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,28,10,4,Friday,0.6607137037519806,1.7615123392254128,0.0,0.0,0.0,0.0,101.76151233922542
2020-07-13,10390.83984375,10824.7802734375,10368.0400390625,10729.919921875,4851880000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,29,13,0,Monday,-2.1342298780777758,-0.4103122615021326,0.0,0.0,0.0,0.0,99.58968773849787
2020-07-14,10488.580078125,10497.830078125,10182.4599609375,10310.25,4461770000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,29,14,1,Tuesday,0.940638445445674,0.5264666290654807,0.0,0.0,0.0,0.0,100.52646662906548
2020-07-15,10550.490234375,10604.669921875,10420.5400390625,10576.7197265625,4647070000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,29,15,2,Wednesday,0.5902625120736804,1.1198366762890988,0.0,0.0,0.0,0.0,101.1198366762891
2020-07-16,10473.830078125,10499.7900390625,10364.3896484375,10443.8701171875,4277760000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,29,16,3,Thursday,-0.726602788562658,0.3850971232091771,0.0,0.0,0.0,0.0,100.38509712320918
2020-07-17,10503.1904296875,10532.6201171875,10421.2099609375,10500.51953125,4361480000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,29,17,4,Friday,0.28032106061965933,0.6664976921690213,0.0,0.0,0.0,0.0,100.66649769216902
2020-07-20,10767.08984375,10783.7998046875,10488.0400390625,10526.01953125,4314630000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,30,20,0,Monday,2.512564309189158,3.1958081844931874,0.0,0.0,1.2989129763336904,0.0,103.19580818449319
2020-07-21,10680.3603515625,10839.9296875,10650.4599609375,10837.8798828125,5350750000.0,NASDAQ_Composite,^IXIC,United States,North America,North America,USD,40.7128,-74.006,2020,3,7,30,21,1,Tuesday,-0.805505419255359,2.364560357122736,0.0,0.0,1.2934723062329467,0.0,102.36456035712274
