Date,Close,High,Low,Open,Volume,ETF_Name,Ticker,Category,Asset_Class,Geographic_Focus,Currency,Issuer,Expense_Ratio,Full_Name,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_10D,Volatility_30D,RSI_14,Price_Change_1M,Price_Change_3M,Price_Change_1Y,Normalized_Value,ESG_Score,Sustainability_Theme,Risk_Level
2020-07-06,13.039907455444336,13.069588315275482,12.940969997957154,12.947153942876673,3668800.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85,Responsible Investing,Medium
2020-07-07,12.92860221862793,13.141317078043263,12.916235273123252,13.016408758309847,3452800.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,28,7,1,Tuesday,-0.8535738247891889,-0.8535738247891889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1464261752108,85,Responsible Investing,Medium
2020-07-08,13.088138580322266,13.094321581408453,12.928602433114053,12.981781148850123,3949600.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,28,8,2,Wednesday,1.233979969346355,0.36987321453567645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.36987321453567,85,Responsible Investing,Medium
2020-07-09,13.119057655334473,13.17594636580234,12.92612969859826,13.16110546342646,3077600.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,28,9,3,Thursday,0.23623737495179764,0.6069843682601439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.60698436826014,85,Responsible Investing,Medium
2020-07-10,13.188312530517578,13.2019164543376,12.986728572106117,13.098032974480164,4909600.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,28,10,4,Friday,0.5278951964583056,1.1380838060417453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.13808380604175,85,Responsible Investing,Medium
2020-07-13,12.940969467163086,13.428234868464592,12.919945564959082,13.305799557550138,6521600.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,29,13,0,Monday,-1.8754716555445916,-0.7587322887015024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.24126771129849,85,Responsible Investing,Medium
2020-07-14,13.114108085632324,13.12771200755972,12.746804080667369,12.887789322880955,6494400.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,29,14,1,Tuesday,1.337910725379321,0.569027276010381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.56902727601039,85,Responsible Investing,Medium
2020-07-15,13.205626487731934,13.269936117556307,13.068351214937126,13.250148248829571,3669600.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,29,15,2,Wednesday,0.6978621916337246,1.2708604938634682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.27086049386347,85,Responsible Investing,Medium
2020-07-16,13.115346908569336,13.152447747061126,13.01022550733215,13.084429071390757,2912800.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,29,16,3,Thursday,-0.6836448028154307,0.578527519330696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.57852751933069,85,Responsible Investing,Medium
2020-07-17,13.172234535217283,13.206862359050728,13.058456186644989,13.169760580064931,2852800.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,29,17,4,Friday,0.4337485469849023,1.0147854210245777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.01478542102458,85,Responsible Investing,Medium
2020-07-20,13.443074226379396,13.477702994011215,13.14255283364967,13.179654612915044,4912000.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,30,20,0,Monday,2.0561408198282116,3.0917916581281624,0.0,0.0,0.0,1.168832529598396,0.0,0.0,0.0,0.0,0.0,103.09179165812816,85,Responsible Investing,Medium
2020-07-21,13.36392593383789,13.532119047268765,13.326825094530731,13.532119047268765,3623200.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,30,21,1,Tuesday,-0.588766313483513,2.48482191687851,0.0,0.0,0.0,1.1422104702420015,0.0,0.0,0.0,0.0,0.0,102.48482191687852,85,Responsible Investing,Medium
2020-07-22,13.449259757995604,13.464100660160703,13.346612307646488,13.363926221736996,3171200.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,30,22,2,Wednesday,0.6385385894847273,3.1392270531824806,0.0,0.0,0.0,1.1052099806136098,0.0,0.0,0.0,0.0,0.0,103.13922705318248,85,Responsible Investing,Medium
2020-07-23,13.192022323608398,13.49625372320982,13.125239683178208,13.433182015751443,5121600.0,Schwab_US_Large_Cap_Growth,SCHG,ESG Equity,Equity,United States,USD,Charles Schwab,0.04,Schwab US Large-Cap Growth ETF,2020,3,7,30,23,3,Thursday,-1.9126512463578327,1.1665333414659473,0.0,0.0,0.0,1.3050769298752678,0.0,54.41490545419519,0.0,0.0,0.0,101.16653334146595,85,Responsible Investing,Medium
