Date,Close,High,Low,Open,Volume,ETF_Name,Ticker,Category,Asset_Class,Geographic_Focus,Currency,Issuer,Expense_Ratio,Full_Name,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_10D,Volatility_30D,RSI_14,Price_Change_1M,Price_Change_3M,Price_Change_1Y,Normalized_Value,ESG_Score,Sustainability_Theme,Risk_Level
2020-07-06,54.6112174987793,54.7148804354112,54.35677308929567,54.5923693653086,180600.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85,Responsible Investing,Medium
2020-07-07,54.08348846435547,54.78085512521279,53.99867364877707,54.243695824854406,133000.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,28,7,1,Tuesday,-0.9663381601694221,-0.9663381601694221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.03366183983057,85,Responsible Investing,Medium
2020-07-08,54.57352066040039,54.57352066040039,53.94212437285574,54.12117624658172,183800.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,28,8,2,Wednesday,0.9060661764965117,-0.06902764689278307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.93097235310722,85,Responsible Investing,Medium
2020-07-09,54.394474029541016,54.92220743240533,53.64998887059836,54.92220743240533,189700.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,28,9,3,Thursday,-0.3280833427873331,-0.3968845214687322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.60311547853127,85,Responsible Investing,Medium
2020-07-10,54.893924713134766,54.90334698110904,54.08347306063882,54.43215449430101,105100.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,28,10,4,Friday,0.9182011454371253,0.5176724257462073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.51767242574621,85,Responsible Investing,Medium
2020-07-13,54.14944839477539,55.742081556036645,54.07405945416538,55.46878900713319,142200.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,29,13,0,Monday,-1.3562089470735894,-0.8455572410818846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.15444275891812,85,Responsible Investing,Medium
2020-07-14,54.83738327026367,54.89392766589099,53.62170932104178,53.81018344997235,289500.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,29,14,1,Tuesday,1.270437457594964,0.4141379405969703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.41413794059697,85,Responsible Investing,Medium
2020-07-15,55.44051742553711,55.5818730342695,54.903354608629606,55.5818730342695,131400.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,29,15,2,Wednesday,1.0998594741490786,1.518552350121749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.51855235012175,85,Responsible Investing,Medium
2020-07-16,55.16722106933594,55.27088399885627,54.90335081376228,55.1860692015136,107700.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,29,16,3,Thursday,-0.49295419467944024,1.0181123879339893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.018112387934,85,Responsible Investing,Medium
2020-07-17,55.402828216552734,55.534761572809344,55.035298554148085,55.47821716516465,105200.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,29,17,4,Friday,0.42707815012228423,1.449538673608819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.44953867360881,85,Responsible Investing,Medium
2020-07-20,56.03421401977539,56.15672508243484,55.36512149932874,55.55359922767089,203000.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,30,20,0,Monday,1.1396273864481499,2.605685399758584,0.0,0.0,0.0,0.9665186608611143,0.0,0.0,0.0,0.0,0.0,102.60568539975858,85,Responsible Investing,Medium
2020-07-21,55.996524810791016,56.59022847165677,55.817472923507616,56.59022847165677,91000.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,30,21,1,Tuesday,-0.06726106476852012,2.5366717232456537,0.0,0.0,0.0,0.8772814950083414,0.0,0.0,0.0,0.0,0.0,102.53667172324566,85,Responsible Investing,Medium
2020-07-22,56.34519958496094,56.35462185312746,55.90227748795164,55.90227748795164,203000.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,30,22,2,Wednesday,0.6226721664390311,3.1751390384592737,0.0,0.0,0.0,0.8618239545873726,0.0,0.0,0.0,0.0,0.0,103.17513903845928,85,Responsible Investing,Medium
2020-07-23,55.5912971496582,56.44886742401364,55.3085787512595,56.20384529138993,128500.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,30,23,3,Thursday,-1.338006504291378,1.7946489673130062,0.0,0.0,0.0,0.995455434462628,0.0,58.15054082725506,0.0,0.0,0.0,101.79464896731301,85,Responsible Investing,Medium
2020-07-24,55.19550323486328,55.37455513634489,54.8185477007906,55.36513286570455,443000.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,30,24,4,Friday,-0.7119710010172975,1.0699005860783872,0.0,0.0,0.0,1.0022955087844185,0.0,54.55892429066964,0.0,0.0,0.0,101.06990058607839,85,Responsible Investing,Medium
2020-07-27,55.770355224609375,55.78920335959388,55.28031449975485,55.43109598471669,130800.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,31,27,0,Monday,1.0414833746510643,2.122526797458768,0.0,0.0,0.0,0.9084395326636323,0.0,63.065797902390486,0.0,0.0,0.0,102.12252679745876,85,Responsible Investing,Medium
2020-07-28,55.31801223754883,55.770356704437,55.26146783109496,55.70439002769795,113100.0,Vanguard_ESG_US_Stock,ESGV,ESG Equity,Equity,United States,USD,Vanguard,0.12,Vanguard ESG U.S. Stock ETF,2020,3,7,31,28,1,Tuesday,-0.8110814163524327,1.294229960695037,0.0,0.0,0.0,0.8995728140622039,0.0,55.800400872122744,0.0,0.0,0.0,101.29422996069503,85,Responsible Investing,Medium
